project_id,partner_org,partner_org_id,partner_role
F7D7B664-0F54-4396-9AF8-A9087E1B0FA9,The Electoral Commission,5643ED0C-967E-4092-84D7-3161C370F714,COLLAB_ORG
F7D7B664-0F54-4396-9AF8-A9087E1B0FA9,Department of Foreign Affairs and Trade,6AE1FCDF-2375-4AE9-9F75-F5240DA20550,COLLAB_ORG
A154A89E-7CC2-424D-801F-D99A17ED7907,AXA,12262049-A239-4B51-AB26-A54E0B0D7CCD,COLLAB_ORG
A154A89E-7CC2-424D-801F-D99A17ED7907,CCRS BROKERS LIMITED,33EFAEEB-1F33-4E18-8D45-499FBC5E86CE,COLLAB_ORG
A154A89E-7CC2-424D-801F-D99A17ED7907,Creative Scotland,BA3BBFFC-1072-4C79-8F71-74F99D6E9DBF,COLLAB_ORG
A154A89E-7CC2-424D-801F-D99A17ED7907,British Film Institute (BFI),91B0FAA6-C408-452F-B5D7-4225EBDD3035,COLLAB_ORG
A154A89E-7CC2-424D-801F-D99A17ED7907,Film Hub Scotland,DD2E4549-1676-4E04-9BDC-669F21FE2A1E,COLLAB_ORG
A154A89E-7CC2-424D-801F-D99A17ED7907,Kennedys Law,17C63670-CFD5-40A4-B0CB-4C8C2F47C776,COLLAB_ORG
A154A89E-7CC2-424D-801F-D99A17ED7907,Glasgow Film Theatre,EF8313D3-A101-4B1E-A775-EA1431D4C455,COLLAB_ORG
A154A89E-7CC2-424D-801F-D99A17ED7907,Into Film,50C1C099-8B08-4FC1-854D-4FEC9D679FF0,COLLAB_ORG
DE1CBA6A-8B72-442D-9FDC-AC69888C5D8B,Improbable,EFD05884-4065-4205-870E-FD1F2F4FB61D,COLLAB_ORG
DE1CBA6A-8B72-442D-9FDC-AC69888C5D8B,NHS England,0B3113C7-D146-4FDE-A71E-03B37BB14A28,COLLAB_ORG
DE1CBA6A-8B72-442D-9FDC-AC69888C5D8B,Procter & Gamble,B04E9B07-9B19-4D29-BF46-CEEC1812EAF0,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,Yorkshire Water,C11D43A0-4F20-4131-AC48-1323FA8A4D4E,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,Department of Transport,B65DE606-5C44-4E99-8210-1A6999AFCE32,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,Which?,9B59708B-EA16-4488-B4EF-4734047E7475,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,University of Plymouth,9F234FE5-2D71-48FC-85D3-24DE979CD898,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,Iseal Alliance,CCF02EEE-60BD-48A8-A583-9292F9EDB579,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,LEEDS TEACHING HOSPITALS NHS TRUST,659211E5-5E73-4805-8F7C-E366DC3E952D,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,Alan Turing Institute,3ABE5646-C1EE-43DA-BBE4-15834532BAC4,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,Whitespace,F3ED2171-8134-4C98-9FBC-B1C9BFDC2809,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,Addfree Cities,A7CA5486-412B-4ABE-BBC1-BBEB13967E9A,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,University of Southampton,B56FD484-8F44-47ED-A6B0-12BA09E3CED0,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,UNIVERSITY OF MANCHESTER,F10C1DB7-8352-4B5E-9B34-CCB71D5C6AC5,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,Raspberry Pi Foundation,0A93C8A9-BC4F-4DE4-B8F2-E52B47692E5C,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,South West Water Ltd,D1C48379-3AA5-4091-AE08-54A812E07FC0,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,Sainsbury's,EA9B6CC4-2498-437F-97E6-BBC01F7DDEF5,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,ARUP Group,E3A90496-FEB2-454B-BF69-D4D14F5E02FE,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,LEEDS CITY COUNCIL,500E4AC6-62F8-4106-B46B-B71DF689953E,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,Consumer Data Research Centre (CDRC),83F903BA-3D6E-47DD-905F-8EA39095FE5A,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,West Yorkshire Combined Authorities,66469291-CE9B-415E-A751-B6EA74D6191B,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,IBM,2300A044-63D2-44D1-B5A2-B4EA249696E8,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,Rolls Royce Group Plc,14311A0D-85CD-4EB5-9E87-C03FD95DAE9D,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,European University Institute,04243D3A-7AB7-46AB-98D2-84512B906374,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,Bradford Institute for Health Research (BIHR),C50A9066-091A-44FF-B4C5-14C2CF6F81AE,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,The Co-operative Group Ltd,926E211E-72B4-4199-9D79-38FB3EEF9769,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,World Health Organization (WHO),B6A22884-C95E-4FBC-BA9E-CF4F59926ADE,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,Procter & Gamble,B04E9B07-9B19-4D29-BF46-CEEC1812EAF0,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,Morrison Supermarkets plc,B7F77368-680D-406C-A90F-7E11101FB1D7,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,University of Bristol,3AFC4E80-1071-4043-B55D-5DC3BFBAFCA2,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,Google,59A19B8C-31CA-441F-978E-1829FE0DC0FC,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,Sciteb,F2374508-C61C-40BD-86E0-51E7BC45FD00,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,London School of Economics and Political Science (University of London),829198D0-2187-4426-81EF-B4E09150311B,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,University of Florida,32FF2709-F690-4FDB-B6DF-81D32D74B600,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,CycleStreets,945ADE4A-D11F-487F-AEF6-7BF81AFBFB9E,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,University of Cambridge,0CD86CC3-08B6-42CC-96E1-0FB67190B886,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,The Food Foundation,5E3F4AAB-F3B5-4856-96F5-1B792946E280,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,Sustain (food and farming alliance),838B9038-AD62-4348-81D8-160B1CE1F634,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,Cuebiq,E0D1CAFA-DFEA-4072-B438-A7489AF7989B,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,Statistics Norway,B64F42DA-4406-4CC4-BFC6-FF085AD873C6,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,BRADFORD METROPOLITAN DISTRICT COUNCIL,E59F58C0-DE3C-470E-ACC9-9643AAAEE63F,COLLAB_ORG
21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,"University of California, Davis",B3A18DF3-311D-4810-A1B3-9CE3C2D6798B,COLLAB_ORG
