staff_name,url,region,countries
"Langer, Professor Ana Ines",https://www.gla.ac.uk/schools/socialpolitical/staff/anaineslanger/,Europe,Germany
"Langer, Professor Ana Ines",https://www.gla.ac.uk/schools/socialpolitical/staff/anaineslanger/,Latin America,Argentina
"Lavery, Dr Scott",https://www.gla.ac.uk/schools/socialpolitical/staff/scottlavery/,Europe,
"Lefevre, Dr Catherine",https://www.gla.ac.uk/schools/socialpolitical/staff/catherinelefevre/,Europe,
"Liu, Dr Pengyuan",https://www.gla.ac.uk/schools/socialpolitical/staff/pengyuanliu/,China,
"Liu, Dr Pengyuan",https://www.gla.ac.uk/schools/socialpolitical/staff/pengyuanliu/,Europe,
"Liu, Dr Pengyuan",https://www.gla.ac.uk/schools/socialpolitical/staff/pengyuanliu/,South-East Asia,Singapore
"Livingstone, Professor Nicola",https://www.gla.ac.uk/schools/socialpolitical/staff/nicolalivingstone/,Europe,
"Liñeira, Dr Robert",https://www.gla.ac.uk/schools/socialpolitical/staff/robertlineira/,Europe,
"Loader, Dr Michael",https://www.gla.ac.uk/schools/socialpolitical/staff/michaelloader/,Europe,Latvia; Sweden
"Loader, Dr Michael",https://www.gla.ac.uk/schools/socialpolitical/staff/michaelloader/,Russia,Russia
"Lowton, Dr Zubeida",https://www.gla.ac.uk/schools/socialpolitical/staff/zubeidalowton/,Southern Africa,South Africa
"Mabweazara, Dr Hayes",https://www.gla.ac.uk/schools/socialpolitical/staff/hayesmabweazara/,Southern Africa,South Africa; Zimbabwe
"Machold, Dr Rhys",https://www.gla.ac.uk/schools/socialpolitical/staff/rhysmachold/,Middle East,Israel; Palestine
"Machold, Dr Rhys",https://www.gla.ac.uk/schools/socialpolitical/staff/rhysmachold/,North America,Canada
"Machold, Dr Rhys",https://www.gla.ac.uk/schools/socialpolitical/staff/rhysmachold/,South Asia,India
"Mack, Mr Colin",https://www.gla.ac.uk/schools/socialpolitical/staff/colinmack/,Europe,Ireland
"Madgin, Professor Rebecca",https://www.gla.ac.uk/schools/socialpolitical/staff/rebeccamadgin/,China,China
"Mah, Professor Alice",https://www.gla.ac.uk/schools/socialpolitical/staff/alicemah/,Europe,
"Malara, Dr Diego Maria",https://www.gla.ac.uk/schools/socialpolitical/staff/diegomariamalara/,Australasia,Australia
"Malara, Dr Diego Maria",https://www.gla.ac.uk/schools/socialpolitical/staff/diegomariamalara/,East Africa,Ethiopia
"Martin, Dr Laura",https://www.gla.ac.uk/schools/socialpolitical/staff/lauramartin/,East Africa,Kenya
"Martin, Dr Laura",https://www.gla.ac.uk/schools/socialpolitical/staff/lauramartin/,Southern Africa,Mozambique; South Africa
"Martin, Dr Laura",https://www.gla.ac.uk/schools/socialpolitical/staff/lauramartin/,West Africa,Sierra Leone
"McCandlish, Dr Alison",https://www.gla.ac.uk/schools/socialpolitical/staff/alisonmccandlish/,Europe,
"McManus, Professor Clare",https://www.gla.ac.uk/schools/socialpolitical/staff/claremcmanus/,Europe,Poland
"McNeill, Professor Fergus",https://www.gla.ac.uk/schools/socialpolitical/staff/fergusmcneill/,Europe,
"Meth, Professor Paula",https://www.gla.ac.uk/schools/socialpolitical/staff/paulameth/,East Africa,Ethiopia; Kenya; Somalia
"Meth, Professor Paula",https://www.gla.ac.uk/schools/socialpolitical/staff/paulameth/,South Asia,India
"Meth, Professor Paula",https://www.gla.ac.uk/schools/socialpolitical/staff/paulameth/,Southern Africa,South Africa
"Meth, Professor Paula",https://www.gla.ac.uk/schools/socialpolitical/staff/paulameth/,West Africa,Niger; Nigeria; Sierra Leone
"Miller, Dr Christopher",https://www.gla.ac.uk/schools/socialpolitical/staff/christophermiller/,Europe,Finland; Germany
"Mirza, Dr Nughmana",https://www.gla.ac.uk/schools/socialpolitical/staff/nughmanamirza/,Middle East,
"Mirza, Dr Nughmana",https://www.gla.ac.uk/schools/socialpolitical/staff/nughmanamirza/,South Asia,
"Mulvey, Dr Gareth",https://www.gla.ac.uk/schools/socialpolitical/staff/garethmulvey/,Middle East,Syria
"Munro, Dr Neil",https://www.gla.ac.uk/schools/socialpolitical/staff/neilmunro/,China,China
"Munro, Dr Neil",https://www.gla.ac.uk/schools/socialpolitical/staff/neilmunro/,Russia,Russia
"Naha, Dr Souvik",https://www.gla.ac.uk/schools/socialpolitical/staff/souviknaha/,South Asia,India; Pakistan
"Nair, Dr Shalini",https://www.gla.ac.uk/schools/socialpolitical/staff/shalininair/,South Asia,India
"Nyamunda, Dr Tinashe",https://www.gla.ac.uk/schools/socialpolitical/staff/tinashenyamunda/,North America,United States
"Nyamunda, Dr Tinashe",https://www.gla.ac.uk/schools/socialpolitical/staff/tinashenyamunda/,North-East Asia,Japan
"Nyamunda, Dr Tinashe",https://www.gla.ac.uk/schools/socialpolitical/staff/tinashenyamunda/,Southern Africa,South Africa; Zimbabwe
"O'Neill, Dr Erica",https://www.gla.ac.uk/schools/socialpolitical/staff/ericaoneill/,Australasia,Australia
"O'Neill, Dr Erica",https://www.gla.ac.uk/schools/socialpolitical/staff/ericaoneill/,Europe,
"Oyedokun, Dr Tunbosun",https://www.gla.ac.uk/schools/socialpolitical/staff/tunbosunoyedokun/,Europe,
"Oyedokun, Dr Tunbosun",https://www.gla.ac.uk/schools/socialpolitical/staff/tunbosunoyedokun/,West Africa,Niger; Nigeria
"Pantoliano, Dr Carolina",https://www.gla.ac.uk/schools/socialpolitical/staff/carolinapantoliano/,Australasia,
"Pardos-Prado, Professor Sergi",https://www.gla.ac.uk/schools/socialpolitical/staff/sergipardosprado/,Europe,
"Pasura, Dr Dominic",https://www.gla.ac.uk/schools/socialpolitical/staff/dominicpasura/,Southern Africa,South Africa; Zimbabwe
"Pasura, Dr Dominic",https://www.gla.ac.uk/schools/socialpolitical/staff/dominicpasura/,West Africa,Niger; Nigeria
"Pattaro, Dr Serena",https://www.gla.ac.uk/schools/socialpolitical/staff/serenapattaro/,Europe,
"Paxton, Dr Fred",https://www.gla.ac.uk/schools/socialpolitical/staff/fredpaxton/,Europe,Italy
"Peace, Dr Timothy",https://www.gla.ac.uk/schools/socialpolitical/staff/timothypeace/,Europe,France; Italy
"Pearson, Dr Bethia",https://www.gla.ac.uk/schools/socialpolitical/staff/bethiapearson/,Latin America,Uruguay
"Perazzone, Dr Stephanie",https://www.gla.ac.uk/schools/socialpolitical/staff/stephanieperazzone/,Europe,
"Perazzone, Dr Stephanie",https://www.gla.ac.uk/schools/socialpolitical/staff/stephanieperazzone/,West Africa,Ivory Coast
"Picker, Dr Giovanni",https://www.gla.ac.uk/schools/socialpolitical/staff/giovannipicker/,Europe,France; Germany; Italy; Kosovo; Romania
"Picker, Dr Giovanni",https://www.gla.ac.uk/schools/socialpolitical/staff/giovannipicker/,Middle East,
"Pickering, Dr Lucy",https://www.gla.ac.uk/schools/socialpolitical/staff/lucypickering/,East Africa,Uganda
"Porto de Albuquerque, Professor Joao",https://www.gla.ac.uk/schools/socialpolitical/staff/joaoportodealbuquerque/,Australasia,Australia
"Porto de Albuquerque, Professor Joao",https://www.gla.ac.uk/schools/socialpolitical/staff/joaoportodealbuquerque/,East Africa,Kenya
"Porto de Albuquerque, Professor Joao",https://www.gla.ac.uk/schools/socialpolitical/staff/joaoportodealbuquerque/,Europe,Germany; Poland; Romania; Sweden
"Porto de Albuquerque, Professor Joao",https://www.gla.ac.uk/schools/socialpolitical/staff/joaoportodealbuquerque/,Latin America,Brazil; Colombia
"Porto de Albuquerque, Professor Joao",https://www.gla.ac.uk/schools/socialpolitical/staff/joaoportodealbuquerque/,North America,United States
"Porto de Albuquerque, Professor Joao",https://www.gla.ac.uk/schools/socialpolitical/staff/joaoportodealbuquerque/,South Asia,Bangladesh; Pakistan
"Porto de Albuquerque, Professor Joao",https://www.gla.ac.uk/schools/socialpolitical/staff/joaoportodealbuquerque/,West Africa,Ghana; Niger; Nigeria
"Prina, Dr Federica",https://www.gla.ac.uk/schools/socialpolitical/staff/federicaprina/,Europe,
"Prina, Dr Federica",https://www.gla.ac.uk/schools/socialpolitical/staff/federicaprina/,Russia,Russia; Russian Federation
"Ranford-Robinson, Dr Corey",https://www.gla.ac.uk/schools/socialpolitical/staff/coreyranfordrobinson/,North America,Canada
"Rao, Mr Rohit",https://www.gla.ac.uk/schools/socialpolitical/staff/rohitrao/,Australasia,Australia
"Rao, Mr Rohit",https://www.gla.ac.uk/schools/socialpolitical/staff/rohitrao/,Latin America,
"Reilly, Dr Paul",https://www.gla.ac.uk/schools/socialpolitical/staff/paulreilly/,Europe,France; Ireland
